inst,succ probSAT,of,steps probSAT,awg fined probSAT,mu probSAT,sig^2 probSAT
uf20-0827.cnf,1000,1000,205.349,205.349,4.69151,1.54368
uf20-0828.cnf,1000,1000,31.415,31.415,3.15006,0.62107
uf20-0829.cnf,1000,1000,85.855,85.855,4.01538,0.98428
uf20-0830.cnf,1000,1000,59.704,59.704,3.73011,0.73796
uf20-0831.cnf,1000,1000,53.772,53.772,3.61436,0.76162
uf20-0832.cnf,1000,1000,53.707,53.707,3.54273,0.93583
uf20-0833.cnf,1000,1000,62.229,62.229,3.7182,0.9004
uf20-0834.cnf,1000,1000,79.535,79.535,3.77242,1.23791
uf20-0835.cnf,1000,1000,25.534,25.534,2.89671,0.60842
uf20-0836.cnf,1000,1000,77.857,77.857,3.88979,0.95334
uf20-0837.cnf,1000,1000,160.708,160.708,4.58815,1.14269
uf20-0838.cnf,1000,1000,18.876,18.876,2.72427,0.41281
uf20-0839.cnf,1000,1000,147.573,147.573,4.28422,1.64916
uf20-0840.cnf,1000,1000,111.86,111.86,4.28886,0.98645
uf20-0841.cnf,1000,1000,179.405,179.405,4.55424,1.51969
uf20-0842.cnf,997,1000,185.933,226.433,4.54874,1.56849
uf20-0843.cnf,1000,1000,30.537,30.537,3.08259,0.67146
uf20-0844.cnf,1000,1000,27.146,27.146,3.02108,0.54391
uf20-0845.cnf,1000,1000,48.713,48.713,3.48716,0.82855
uf20-0846.cnf,1000,1000,25.725,25.725,2.93434,0.60923
uf20-0847.cnf,1000,1000,103.618,103.618,4.14992,1.13617
uf20-0848.cnf,999,1000,146.495,159.995,4.33462,1.47557
uf20-0849.cnf,998,1000,216.559,243.559,4.71167,1.63232
uf20-0850.cnf,1000,1000,78.177,78.177,3.74523,1.23605
uf20-0851.cnf,1000,1000,98.224,98.224,4.05446,1.20571
uf20-0852.cnf,1000,1000,34.719,34.719,3.17924,0.72552
uf20-0853.cnf,988,1000,285.239,447.239,4.85889,1.90778
uf20-0854.cnf,1000,1000,41.215,41.215,3.39783,0.68905
uf20-0855.cnf,1000,1000,178.605,178.605,4.57648,1.51952
uf20-0856.cnf,1000,1000,11.629,11.629,2.3278,0.25954
uf20-0857.cnf,1000,1000,85.467,85.467,3.89607,1.20941
uf20-0858.cnf,1000,1000,115.073,115.073,4.36871,0.88008
